,@BBCNews,@CBS,@CNN,@FoxNews,@nytimes
0,0.4588,-0.2263,0.0,0.0,0.3612
1,-0.4588,-0.2263,-0.296,0.0,0.4588
2,0.0,0.0772,0.0,0.6369,0.6597
3,0.0,0.0,0.0,0.3612,-0.7184
4,0.0,0.5754,0.3182,0.7717,-0.7906
5,0.25,0.6476,0.3612,0.4019,-0.5267
6,-0.2732,0.8126,0.4019,0.0,0.0
7,-0.3612,0.7777,0.4019,0.0,0.0
8,-0.34,0.5423,-0.296,-0.1531,0.4215
9,-0.3818,0.3182,-0.6124,0.5859,0.7184
10,0.7096,0.1511,0.0,0.3182,-0.6705
11,-0.6369,0.4199,0.6369,0.0,-0.5267
12,0.0,0.5106,0.5719,0.0,0.1779
13,0.5423,0.0,0.2732,0.5994,-0.4019
14,0.4404,0.3612,0.5267,-0.4754,-0.6195
15,0.25,0.9217,0.0,-0.1531,-0.1531
16,0.5859,0.5213,0.0772,0.3612,0.6369
17,-0.4404,-0.5655,0.0,-0.4588,0.1779
18,0.0,0.9466,0.0,0.0,0.0
19,0.4215,0.5994,-0.4939,-0.296,0.0
20,0.4588,-0.2263,0.0,0.0,0.3612
21,-0.4588,-0.2263,-0.296,0.0,0.4588
22,0.0,0.0772,0.0,0.6369,0.6597
23,0.0,0.0,0.0,0.3612,-0.7184
24,0.0,0.5754,0.3182,0.7717,-0.7906
25,0.25,0.6476,0.3612,0.4019,-0.5267
26,-0.2732,0.8126,0.4019,0.0,0.0
27,-0.3612,0.7777,0.4019,0.0,0.0
28,-0.34,0.5423,-0.296,-0.1531,0.4215
29,-0.3818,0.3182,-0.6124,0.5859,0.7184
30,0.7096,0.1511,0.0,0.3182,-0.6705
31,-0.6369,0.4199,0.6369,0.0,-0.5267
32,0.0,0.5106,0.5719,0.0,0.1779
33,0.5423,0.0,0.2732,0.5994,-0.4019
34,0.4404,0.3612,0.5267,-0.4754,-0.6195
35,0.25,0.9217,0.0,-0.1531,-0.1531
36,0.5859,0.5213,0.0772,0.3612,0.6369
37,-0.4404,-0.5655,0.0,-0.4588,0.1779
38,0.0,0.9466,0.0,0.0,0.0
39,0.4215,0.5994,-0.4939,-0.296,0.0
40,0.7574,0.7906,0.25,0.0,0.1027
41,0.0,0.8689,0.0,0.0,0.0
42,0.1901,0.8016,-0.34,-0.4754,-0.2263
43,0.0,0.5719,0.0,0.0,0.128
44,-0.5093,0.0,0.0,0.0,0.0
45,0.4215,0.25,0.2023,0.6808,0.6467
46,-0.5574,0.0,0.0,0.3612,0.4404
47,0.4588,0.0,0.4019,-0.1531,-0.8316
48,0.0516,0.8591,0.0,0.5267,0.0
49,0.0,-0.2263,0.0,0.3612,-0.5574
50,-0.3182,0.5574,0.2732,0.5267,0.34
51,-0.34,0.3612,0.0772,0.5859,0.0
52,0.0,0.4588,0.5983,0.743,-0.743
53,0.0,0.807,0.4019,0.0,-0.5267
54,0.0,0.4574,0.0,-0.4019,-0.3597
55,0.0762,-0.2263,0.5267,0.6369,0.4019
56,-0.34,0.8271,0.0,0.5267,0.6652
57,-0.0772,0.7783,-0.3612,0.3818,0.0
58,0.0516,0.8658,0.5719,-0.4588,-0.296
59,0.0,0.8516,-0.6705,0.0772,0.4173
60,-0.4939,0.7897,0.0,0.5994,-0.5859
61,0.0,0.6166,-0.4588,0.4019,-0.4767
62,-0.25,0.1867,0.2732,0.0,0.0
63,0.5994,0.6996,-0.5574,-0.25,-0.7835
64,-0.2003,-0.3595,0.0,0.3612,-0.3818
65,-0.5106,0.3612,0.0,-0.0258,-0.3415
66,-0.6908,0.4199,-0.6597,0.3612,0.0
67,0.0,0.7707,-0.0253,-0.5994,0.0
68,0.0,0.0,0.0,-0.6486,0.3182
69,-0.296,0.8221,-0.4019,0.7717,0.0
70,0.25,0.0,0.34,-0.4767,-0.6597
71,0.3818,0.0,0.0,-0.4767,0.0
72,0.0772,0.0,0.0772,0.0,0.5719
73,-0.743,0.6893,0.25,0.7073,-0.4588
74,0.3818,0.1901,0.0,0.2177,0.2023
75,0.0,0.296,0.2732,0.3818,0.0
76,-0.2732,0.0,0.0,0.0,0.6369
77,0.0,0.6115,0.4588,0.0,0.0498
78,0.0,0.0,0.0736,-0.3612,-0.5574
79,0.0,0.6808,0.1872,0.0,0.6652
80,-0.296,0.3612,0.0,0.2263,-0.296
81,-0.25,0.0,0.0,-0.25,-0.4939
82,0.0,-0.3595,-0.5719,0.4404,0.0
83,-0.3612,0.6239,-0.2023,0.5759,0.0
84,-0.296,0.0,-0.4939,0.3612,0.0
85,0.5719,0.5542,-0.6705,-0.6597,0.4215
86,0.0,0.0,0.0,0.4588,0.0
87,0.0,0.0,0.3412,-0.3182,0.0
88,-0.34,0.0,0.0,0.0,0.5106
89,0.34,0.7482,-0.4939,-0.4215,0.4019
90,-0.296,0.8513,-0.2263,0.0258,0.3818
91,0.0,0.7232,-0.5719,-0.6249,0.3612
92,-0.8201,0.0,0.0,0.5267,0.0
93,-0.5994,0.8979,-0.6597,-0.7506,-0.743
94,0.0,0.0,0.0,0.6908,-0.2263
95,-0.126,0.6988,0.5983,0.6329,0.6249
96,0.0,0.0,0.0,0.0,0.0
97,-0.5994,0.7067,0.0,0.0,-0.3382
98,0.3182,0.0,0.0,0.3818,-0.7506
99,0.7088,0.0,0.6581,0.1511,-0.1007
